"Government revenue, percent of GDP (% of GDP)",Country code,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Ethiopia,ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.93307143,11.98808319,12.80845319,13.66029224,15.13192353,14.98651949,15.86534433,14.83670548,18.08719546,19.68655991,13.99807778,11.3210115,9.312853058,9.651599405,12.23900614,14.63253006,14.86136413,16.1761782,17.48436848,18.27016082,16.71793093,18.67766681,19.10531508,21.44947759,20.497795,18.76773956,18.27909542,16.95398912,15.87368065,16.1806583,17.16248427,16.6210024,15.47630183,15.82525775,14.90141568,15.37866765,15.61251447,14.74335028,13.07028981,12.81935619,11.70494837,11.03168523,8.538810447,8.221245615,7.549077915
Fiji,FJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.85951414,24.79603585,24.6606564,24.28746332,23.75714534,24.73547936,33.11348819,25.76535348,22.84381293,22.48782284,24.43928343,23.27913706,23.71278364,22.85595712,24.63863019,23.86451083,24.39325673,23.4306871,24.25291731,25.78444351,25.33385041,25.83025649,26.7052297,26.73698549,26.38308354,25.84485805,27.67146731,27.06837569,24.35131181,21.53507831,21.6369389,23.04810389,27.31857564
Finland,FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.058819771,7.254899979,7.450980186,7.599999905,8.163269997,7.5,6.86274004,6.785709858,6.333330154,6.349209785,7.377049923,6.774189949,6.71875,6.96969986,6.805550098,6.375,6.25,6.444449902,6.288660049,9.787229538,10.1086998,9.900989532,9.903849602,9.724769592,10.51720047,10.81299973,11.52000046,11.16279984,11.42860031,11.20569992,11.25,11.3125,10.70059967,11.21389961,12.51029968,11.67109966,8.703700066,12.10960007,12.65690041,14.18010044,15.07909966,16.12100029,15.71140003,15.28110027,15.15040016,15.44659996,16.39559937,16.23399925,17.8125,17.63380051,11.33950043,12.43719959,12.90040016,12.66180038,12.29370022,12.08959961,12.62860012,12.59090042,12.07929993,22.5366993,26.11700058,26.14349937,24.98940086,23.10549927,30.31959915,23.63870049,24.17070007,24.86490059,23.61969948,21.85989952,19.92639923,22.69910049,19.66340065,19.84679985,20.76230049,21.22730064,20.38030052,20.51250076,21.94440079,19.68479919,21.57360077,19.12150002,21.45229912,21.5489006,22.19930077,23.28750038,23.80780029,23.09020042,22.9102993,22.99600029,20.25259972,23.27869987,22.88010025,43.53,47.49,47.93,45.11,43.72,43.78,46.15,45.8,45.91,47.61,49.62,50.77,49.38,51.52,51.12,53.2,55.77,56.48,56.08,56.09,55.13,56.25,54.85,53.96,52.65,54.8,52.25,52.53,51.76,51.33,51.67,52.04,51.68,52.05,51.61,51.37,52.81930637,53.54230504,54.58458847,54.63020087,53.31649159,53.40237441,52.22023444,51.7940536,51.66654089,50.91862074,52.46136901,52.45758731,52.93578721,53.27743212
France,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89669991,14.28629971,13.08440018,13.40890026,13.24960041,13.22710037,12.56239986,12.90170002,12.72389984,11.92660046,11.67039967,11.4691,11.74300003,11.95699978,12.17259979,12.57450008,11.94799995,11.59759998,11.34799957,11.22780037,11.62899971,11.74610043,11.23589993,10.82289982,11.30599976,11.33829975,10.77359962,10.24240017,10.62530041,10.3263998,10.44629955,10.39939976,9.839949608,10.27210045,,,,,,7.573659897,16.82659912,14.85449982,12.64179993,12.06879997,12.32849979,10.33310032,13.76060009,13.84689999,13.90690041,19.2371006,17.00020027,18.00889969,14.48820019,18.92950058,20.09180069,16.03009987,11.15340042,10.68340015,,,,,,,,,14.01830006,17.54590034,15.54959965,18.24060059,18.55879974,19.1760006,18.4829998,20.37249947,21.37649918,18.84970093,18.82379913,19.12039948,19.67869949,20.48690033,20.22660065,20.55109978,20.14629936,20.35330009,20.77389908,20.98760033,20.81970024,20.5916996,20.18600082,20.96960068,20.52300072,19.90550041,21.71249962,21.7234993,22.92650032,21.76309967,22.70560074,22.33419991,42.98220062,44.56399918,45.69380188,46.14400101,46.9620018,47.66189957,48.42089844,48.80649948,47.98040009,48.58459854,47.35749817,47.02420044,47.10800171,47.70840073,47.39640045,48.61009979,48.59999847,48.9272995,50.47200012,50.87179947,50.12979889,50.79040146,50.1651001,50.00830078,49.58789825,49.31029892,49.64350128,50.60350037,50.59970093,49.85820007,49.93799973,49.16379929,49.54410172,51.70932541,52.7210053,53.65363864,53.8202832,53.70790069,53.61648951,54.30017965,54.0475587,52.95310802,52.76647819,52.87961973,53.69145105,51.39375112,51.40388347
Gabon,GAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.75827505,23.05291373,21.64078456,21.52562454,22.37992653,27.71683878,24.34320818,31.10429067,32.38377386,26.61103301,31.42922248,31.90054547,29.44661134,29.00210686,27.86667479,28.74491952,29.80671977,27.45076105,29.92343674,29.36833384,25.78827316,23.48341413,30.1537586,31.60545811,29.73511011,21.13613971,17.13766525,16.41448709,16.91817061,19.53425842,17.58563463,15.3273782,18.76366065,23.25752803,20.93396335
Georgia,GEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.76372617,12.49343444,14.78008448,14.78042123,14.97627077,14.99655056,16.11471298,15.79847888,15.53538191,22.44427436,23.75258219,25.94075664,28.45977086,29.85186507,28.47054506,26.48603506,26.32400201,27.02385698,25.34916172,25.73594435,25.82902288,26.32579012,26.75802938,25.91985712,26.84648384,24.9491405,25.21667755,26.30874797,27.3544735,27.96247758
Germany,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.17800045,11.28439999,12.82789993,13.01780033,12.87619972,13.36180019,13.86639977,15.81389999,15.81550026,16.4382,16.43939972,18.04640007,16.59970093,16.59569931,17.49729919,16.78610039,17.41950035,17.14830017,18.30920029,17.37859917,18.1243,19.76530075,19.43499947,19.39839935,17.25469971,17.64119911,17.9647007,17.63229942,18.30550003,20.10980034,19.26449966,19.05480003,17.37899971,37.69670105,,,,,,,,,,,,12.56999969,12.90540028,12.23060036,12.63389969,13.38630009,14.81379986,11.64830017,11.46389961,10.61240005,12.08279991,,,,,,,,,,,,,,,,28.97970009,31.31150055,30.39430046,30.29899979,30.34449959,28.51239967,30.12400055,30.61779976,30.76919937,30.08209991,22.5965004,28.71459961,29.70829964,30.53709984,30.48920059,30.6257,30.04450035,31.53190041,29.85400009,29.25760078,39.99089813,41.08209991,41.42639923,43.51699829,44.32960129,44.54489899,45.94110107,46.48300171,45.12379837,44.73220062,45.20740128,45,45.56499863,44.97249985,45.12129974,45.37739944,44.49520111,44.13209915,43.56029892,44.37129974,42.78609848,43.39440155,44.70759964,45.14530182,45.52629852,45.37139893,45.70769882,45.47159958,45.66770172,46.61380005,46.23389816,44.53730011,44.10089874,44.31110001,43.31380081,43.57709885,43.69459915,43.74300003,43.98899841,44.89279938,43.59460068,44.44954513,45.04679775,45.2859256,45.23965729,45.40066018,45.86531089,45.87676374,46.53410133,46.85984711,46.73381207,47.50210464,46.7006234,45.65163498,46.76451904
Ghana,GHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.465569973,9.651320457,12.07610035,10.91670036,7.82738018,9.21969986,9.980839729,8.520750046,9.821399689,11.81890011,9.25524044,6.713570118,7.46036005,9.148730278,7.312270164,5.78178978,5.324339867,5.531809807,2.775499827,1.940255854,2.694112093,2.352034623,3.664456811,4.885954239,6.030943428,6.399507571,6.154645954,6.429953439,4.663309773,5.612701352,4.703602784,6.709627701,7.709266793,8.448473133,6.822136498,5.82574074,6.516317472,5.461139915,8.002199722,10.1477126,7.928100878,10.12999806,11.7217475,11.01056646,11.26463874,11.88688074,11.07371228,11.52189276,11.8398557,14.03346196,13.69569638,12.44752337,13.15435667,14.61597253,13.14477051,13.61588494,14.10399984,14.97138226,14.06799557,15.18243145,15.73263032,15.17011942,15.86380979
Greece,GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0678997,10.15279961,13.46619987,15.32409954,14.22270012,11.3657999,10.56449986,16.67000008,17.375,15.42879963,14.52250004,15.20610046,17.05690002,15.50010014,19.87999916,15.74559975,17.88999939,14.40999985,16.91959953,18.36370087,20.16570091,18.65789986,18.91069984,17.52980042,18.01939964,18.27680016,19.15859985,16.5855999,17.63540077,15.48880005,18.11969948,14.71570015,12.68299961,8.702560425,,,,,,,,,,,,,,20.30890083,20.28800011,22.11269951,23.76740074,26.41790009,20.23270035,18.18729973,21.32169914,22.76889992,22.44610023,20.78089905,20.66570091,21.40299988,,,,,,,,,13.87919998,13.96510029,14.35000038,15.43470001,18.44009972,14.62720013,17.16760063,16.37529945,28.87590027,16.81439972,18.3253994,16.60300064,16.65509987,16.65710068,17.29089928,17.27499962,17.51819992,19.11100006,20.67749977,21.9776001,22.94210052,23.05270004,21.9340992,22.51749992,22.68330002,20.61170006,20.86470032,23.36750031,24.00440025,24.9279995,24.7098999,21.80466776,22.01718553,21.00876122,23.20864469,24.07122433,24.7637139,24.67747318,25.15341075,25.94319758,24.19739057,22.8917542,25.21481722,25.56762356,26.26103729,27.1745951,28.44807246,36.78031409,37.79500338,38.84140397,40.22175937,41.96692262,43.94497111,41.82687449,40.91381937,39.83204669,39.77444771,40.27706042,39.82194962,40.96295056,41.22388217,39.40208926,41.65919393,44.57550068,47.93404167,48.92290832,47.20812759,48.8233258,50.57260551,49.59056481,49.3484232,47.51346249,48.95502255,49.1367718,50.3578951,48.1560803,49.31696899
Grenada,GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.19567968,22.49553599,20.33824678,22.97334354,21.90297539,22.78150075,23.23253468,21.62998508,22.90629566,22.04113936,23.53756753,23.51307856,21.84908407,25.89279872,24.14956988,27.46578676,27.13542209,21.75623376,24.18043672,22.75501716,23.90942513,23.46506829,20.77623805,20.86567851,24.49404478,24.4610283,26.21760794,25.60203398,26.99163574,26.59985888,28.13735087,31.58823748,32.93287667,36.60781978,43.75265396
Guatemala,GTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.246834628,9.889134401,10.39634097,10.86769253,11.61969617,11.70508377,11.75704366,12.11541787,11.89873465,11.81660397,11.57464132,12.28879701,12.50280441,11.69062834,10.98023548,11.19057293,11.68376545,11.73465572,11.83024746,11.67475608,11.10948294,11.45567129,11.3933665,11.30678,11.20503557,10.67542708,12.30706957,12.57182938,12.48032459,12.41669962
Guinea,GIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.96169453,13.04328876,12.90576601,10.96394141,10.03715354,11.62233276,9.777892802,12.6588931,12.77390503,10.319932,10.20225359,11.69448989,11.03388794,10.08505608,9.135166746,9.934309064,11.03530007,9.937010236,10.45930646,11.35726247,10.84941455,15.10576412,43.27278426,14.76535548,17.04980821,15.15096638,15.98883809,15.284352,14.94208114,14.71451241,13.99500302,13.39577423,13.81264608,14.42016558,15.57276394
Guinea-Bissau,GNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.79250287,9.893718135,12.76354428,12.90558483,10.58640467,12.40411002,10.18151786,2.764126022,8.073952835,20.71353352,17.24886488,10.35107268,11.40487109,17.05305168,15.20635392,15.23298862,14.91491497,21.01986723,23.28666036,18.32352163,15.95971491,10.85109448,10.74284774,20.52323573,18.34174634,15.17456755,16.78750369,14.71217402,14.93534137,15.3967753,19.12237413,15.21910161,13.7393281,13.10326567
Guyana,GUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.18333067,16.99115831,17.150055,20.60528243,20.31189855,20.69132828,18.69037425,20.78139274,21.83415558,22.83667645,22.12373827,21.36383887,22.86306924,22.04312368,21.37952046,18.73496202,19.24703662,19.22168674,20.9912214,21.97010923,23.16884742,25.03516199,25.60957178,22.76265469,17.842383,15.17326206,17.8794161,15.89477609
Haiti,HTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.059999943,4.550000191,3.910000086,5.050000191,4.25,3.859999895,3.170000076,2.799999952,3.730000019,3.680000067,3.00999999,3.460000038,3.450000048,2.809999943,3.109999895,3.549999952,3.420000076,2.809999943,,,,2.859240055,3.010620117,4.346159935,5.190780163,5.418360233,,,,8.743590355,9.339130402,11.43770027,10.48180008,10.38090038,9.884469986,11.81820011,7.343450069,,,8.949310303,,7.911200047,7.199399948,7.522600174,9.817629814,9.71339035,11.24450016,11.11740017,11.41819954,9.43171978,9.46683979,11.06879997,12.23729992,13.85789967,15.68729973,10.89519978,11.5454998,13.02439976,16.75709915,16.18040085,13.42520046,16.42499924,13.74380016,27.4741993,,,,,,,,,,5.828699769,5.60925252,5.365848224,4.889847852,4.557777448,4.841026977,5.589771348,6.033428468,7.91928143,8.762465239,9.595314207,9.409790467,9.555316386,11.14054292,12.6999481,13.72344885,11.8824585,10.9883861,11.27529103,10.66462985,9.920365606,10.13617356,7.593454586,7.908540937,6.964434669,6.571178705,7.224727558,12.20981085
Honduras,HND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.317070007,7.569059849,7.729730129,6.483520031,6.411769867,5.80644989,9.75,6.96969986,7.696969986,6.687900066,6.732029915,6.851850033,6.589590073,5.989309788,5.714290142,5.609759808,6.220099926,6.147540092,6.569340229,7.301589966,7.182320118,7.291669846,7.211540222,8.185839653,8.541669846,8.617230415,8.502770424,9.648440361,9.289620399,10.24349976,11.7784996,11.18560028,10.5927,10.93889999,10.14039993,9.754839897,9.707320213,9.671770096,10.73750019,10.99090004,10.7191,11.22399998,11.46879959,11.92949963,11.66989994,10.18470001,10.40680027,11.43239975,10.08899975,10.57199955,12.0326004,12.40680027,12.89309978,13.63230038,12.82540035,12.51220036,11.72039986,13.06499958,13.96510029,13.87119961,13.94439983,13.33460045,12.23579979,13.76659966,14.58199978,14.58430004,13.92809963,13.96959972,15.95699978,14.49090004,14.72749996,22.31249774,24.7017775,23.60694779,21.94691361,21.79335588,21.3478446,23.06856261,23.57693497,23.03827992,24.1949921,26.14236796,23.48679034,23.09194159,22.96920895,22.87297188,22.49754698,23.58142877,25.24078694,26.98519821,26.45014746,26.35333916,26.0282446,23.84340473,25.63529374,25.6129713,25.2553799,24.54654775
Hong Kong SAR,HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.76539993,14.37619972,13.31890011,12.72070026,11.64850044,12.68229961,12.61590004,12.94779968,13.12010002,13.61089993,13.6225996,15.62559986,13.35060024,13.2116003,14.62520027,13.20160007,13.97319984,14.63529968,14.92560005,21.12269974,19.91977531,16.26381531,14.37330278,14.23790427,15.52311901,14.4498316,14.80817236,14.9973211,14.98771947,14.4804946,15.93660162,16.17004314,17.30362816,16.38878711,15.79064567,16.39040207,20.45294731,16.74707499,17.83891685,16.86944823,13.40669565,13.73342174,16.38874735,17.90513062,17.1705333,18.83986148,21.26752123,18.87729265,18.81776468,20.72918452,22.39509148,21.43689773,21.04283327,20.8449172,18.62975444,22.63870838,22.85333971,20.74241574,20.36755094,20.67732921,25.41745278,21.71885157,18.05810367,17.44675933
Hungary,HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.396260023,2.429519892,2.305049896,2.321700096,2.13383007,2.195100069,2.63319993,2.714699984,2.717940092,2.727859974,2.557250023,2.984220028,7.009980202,3.002059937,5.266799927,6.577199936,3.522190094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4787549,46.53306327,43.95601715,43.3007982,43.66721232,44.25169586,43.21269506,42.17992104,41.98513218,42.17383375,41.58131143,42.13847336,44.79845869,44.99015888,45.90095686,44.47914675,43.92020811,46.9167707,47.4811181,47.24275473,48.35092378,44.87160532,44.19230646,43.87605988,43.82219273,43.54421794,40.97720754,42.5404525,42.40577674,41.954894
Iceland,ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.82986021,6.101270199,4.164110184,4.753230095,4.28704977,4.170219898,3.78572011,4.117300034,3.806139946,3.360100031,5.311629772,6.531079769,5.88519001,6.357840061,5.527210236,6.064620018,8.560799599,7.910699844,6.203279972,6.923009872,7.811270237,8.094759941,8.462789536,7.663790226,8.476840019,8.508219719,9.068779945,8.98649025,9.339150429,9.86507988,8.667329788,7.844890118,9.041150093,10.6821003,10.43620014,10.51179981,12.66569996,19.83279991,21.94669914,23.26320076,24.43869972,22.42289925,25.38269997,25.36599922,24.81940079,23.74550056,24.67009926,26.75600052,30.25629997,34.7784996,38.4762001,35.53359985,26.95100021,27.14730072,28.04159927,27.79969978,28.43370056,29.99889946,32.43099976,32.35779953,29.41819954,30.11650085,31.84819984,33.33610153,32.91059875,32.99850082,33.01129913,32.14260101,30.50839996,31.02619934,32.36560059,35.269491,36.60746591,37.70360498,35.80951403,36.90609992,35.43160474,35.53141599,35.69913923,39.49113358,38.64241981,39.42046851,42.1897304,42.81742771,40.74545789,40.37689364,41.50001744,42.42361737,41.35488688,39.68126294,46.06825996,45.69188784,46.63714402,42.73477734,44.93622586,46.50641277,49.14937356,50.689004,49.6404591,50.76084186,44.79981978,41.61326676,43.51295829,44.52722465,44.39030854,45.65096624,42.63220195,58.17374358,44.78628405,44.10339212,41.47315986,41.42987937,40.37819192,42.00065998,42.72006386,43.0364718
India,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.441979885,6.58494997,6.153079987,6.367030144,6.36495018,5.23514986,5.862800121,6.620150089,5.990240097,6.447929859,6.864049911,6.289800167,6.36179018,5.727039814,6.155560017,6.443799973,5.552529812,5.417339802,5.858059883,6.653220177,7.290140152,6.571469784,7.326590061,5.93614006,5.867179871,6.136260033,6.19674015,6.177760124,5.940509796,6.073110104,6.233129978,5.409699917,5.432590008,5.725059986,6.146249771,5.99574995,4.982429981,5.787499905,6.235579967,6.126719952,6.053450108,5.864500046,6.646800041,6.119349957,5.315619946,4.979100227,4.737820148,4.606090069,4.621960163,5.109940052,4.994110107,4.885970116,4.712920189,4.06125021,4.247129917,4.876319885,5.492869854,4.802370071,4.351019859,4.865849972,3.163399935,3.466500044,4.051509857,3.747849941,3.662410021,3.635989904,3.553780079,3.611710072,3.828660011,4.515810013,5.1416502,5.337150097,5.348750114,5.205180168,5.191500187,4.804369926,4.906469822,4.820569992,4.464789867,4.741479874,4.712689877,4.482860088,4.148149967,5.472879887,9.192090034,8.168279648,5.792860031,5.339029789,4.794449806,4.299059868,5.04129982,6.334799767,4.849329948,5.248660088,5.424330235,5.599999905,6.381669998,6.879849911,6.889289856,7.185329914,7.681879997,8.17621994,8.166509628,8.832260132,9.220689774,9.640540123,8.832079887,8.614170074,8.869799614,9.376850128,9.48099041,10.32839966,9.388870239,9.03839016,9.573989868,10.34710026,9.840169907,10.55930042,10.68789959,10.21020031,10.54349995,10.97900009,10.55039978,11.26920033,11.97609997,12.65240002,12.98960018,17.87596611,17.99984838,17.74779498,19.37133754,18.79601156,17.62337698,18.21102115,18.16555434,17.65870076,16.95518899,16.29200023,17.14907205,17.67666562,17.24274805,18.04302719,18.51368114,19.22853408,19.38378472,20.52941031,22.35821633,20.12213505,18.84211542,19.19038217,19.29143004,19.81429534,19.60032991,19.14937351,19.85389029,20.11283383,20.0044269,19.95184957,19.15176483,18.15482745,20.4382655,20.13274709,20.49427809,20.48395718
Indonesia,IDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.18180084,14.63409996,16.27910042,12.63160038,11.19999981,12.41380024,12.28069973,12.77779961,9.6875,12.76599979,10.49069977,4.783450127,5.048299789,3.967469931,4.050630093,4.113920212,10.02359962,8.822130203,9.966899872,10.77840042,12.0369997,13.91320038,15.0007,16.98730087,18.16819954,19.18919945,19.11520004,18.05660057,20.25860023,21.26790047,23.75209999,17.70490074,17.2057991,17.9654007,18.07279968,17.90979958,17.10099983,14.65569973,14.74849987,17.09250069,15.43830013,16.30850029,13.50485099,13.52865746,12.54799053,12.47034873,14.21575291,13.18528026,14.18078515,13.43287302,17.74535035,16.3528193,17.09873377,17.57303121,17.85957809,18.86751619,17.78220354,19.4481143,15.38227768,15.6441066,17.01016378,17.24934557,16.86441738,16.56021658,14.87824028,14.35953029,14.17964706,14.92104244,14.26816725,12.35184105,13.71885159,14.95043799,14.99528236,14.54613453
Iran,IRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.18369961,15.04679966,15.34210014,15.11429977,17.83040047,18.26569939,19.01390076,,,,,,,,,,,,21.59569931,23.02099991,24.19300079,21.34410095,19.71380043,17.90309906,11.12790012,11.80510044,13.3373003,15.57349968,14.66146285,12.40412724,13.58216153,22.0886815,19.64036018,18.33398952,16.50725334,15.58091621,11.8663667,15.23782655,18.74226158,13.64888818,12.76310974,12.91255123,12.61804923,15.49287948,13.75272552,11.81348522,12.44595219,12.36170428,13.22235755,13.97536876,10.90040483,10.80504838,11.35592896,12.83764622,14.64037203,14.86416181,13.18117837,9.255626015,7.272640713,10.3439241,10.20092084,10.24627824,10.36678434
