"Government primary balance, percent of GDP (% of GDP)",Country code,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Indonesia,IDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.737530701,-1.166947916,-0.126037031,-2.092059642,-2.410384238,-0.024734765,-1.690174609,0.635940433,0.070974112,0.116630554,-0.010169864,0.549509406,3.494201303,1.211199999,-0.650149822,1.775110483,0.276869774,0.964319229,3.756700516,2.713050365,1.724250555,0.956646002,1.378761094,1.845491421,1.984925716,0.451296876,0.89262049,2.262785165,1.443545393,3.103264164,3.848235967,1.906611221,2.242237401,2.622587724,2.628437519,0.904527004,1.687213459,-0.084298634,0.045169238,0.487284647,-0.419798627,-0.771470504,-0.542053997,-1.370414295,-1.087287386,-0.670371733,0.048307506,-0.350416157,-4.041051531,-2.381523977,-0.334776396,0.463672047,-0.092368593
Iran,IRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.931103736,0.636413276,0.352180898,-0.91844964,-2.362174422,-3.755454108,-4.003817618,,,,,,,,,,,,,-4.881521702,0.950691223,,5.700469971,,,,,-3.161139727,0.880851227,,1.490779834,,,-1.553290875,3.470140637,0.057814231,,4.040841846,16.32735807,0.249281822,-2.643582837,-2.548083863,-2.308843291,-2.267131446,-4.751549105,-2.211452404,-4.221087516,-3.185658716,-0.767974644,-0.581107691,-0.432244752,-0.652233098,-0.836718295,-1.214811693,-1.294301666,-0.913687241,-0.709630444,-3.306154789,-3.936930092,-2.034583768,-1.853599196,-1.593458308,-2.125938302
Ireland,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.493556052,,,-2.726162612,,-0.680217862,,4.014890909,,,0.779125512,0.577679276,0.379248857,-5.856171131,1.267419219,-0.025639772,-1.208380103,5.91278E-05,1.540610433,0.595390439,0.634901643,-0.814233601,-0.359233856,-1.249568701,-4.234183073,-3.624318659,-6.768518806,-4.666710496,-3.628799558,-3.57352972,-1.262869835,-3.146229506,-2.104831457,-0.012569904,0.120070934,-0.423180819,-0.75187993,-0.692522526,-1.092467546,-0.999031067,0.439710617,0.213428497,0.141390085,-0.355320215,-0.477876902,-0.455460787,-0.45637989,-0.845840693,-3.79841876,-7.37984705,-2.941217422,-1.999500275,-3.606092453,-4.815920353,-5.347340107,-5.492877483,-5.078008652,-3.130569458,-1.049886703,-0.909341812,-1.299859047,0.697031975,3.941577911,5.077023506,5.005302906,4.73884964,4.116780758,3.893371582,4.036618233,3.239991665,4.39302969,5.215901136,5.62614131,4.970179081,6.719731331,2.416390538,1.038529992,1.654621482,2.511120796,2.716489315,3.942586541,1.109911084,-5.959779024,-12.14514923,-28.17485023,-10.13845807,-4.283611328,-2.033415524,0.266905955,0.574436985,1.510874017,1.618239365,1.673619068,1.675729618,-3.865867843,-0.633344111,2.305624157,2.180211119,4.683543179
Israel,ISR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.960695028,-3.107510924,-8.147339821,-5.769668937,-7.025909185,-5.86802876,-4.986449957,-4.177910328,-2.031538963,-1.779691219,-0.988410234,-0.189390898,-1.772388935,-4.830457926,-9.028629065,-12.23237944,-12.95002818,,,,,,,,,,-8.950701714,-9.970902443,-2.738698006,,,1.742796898,6.899402618,5.980298042,6.897098541,-1.935917377,-2.141821861,2.911581993,-2.623330593,-0.84104681,0.066878796,2.085672379,-0.188400745,1.152462482,1.450641632,2.588352203,4.483129501,1.764950752,0.01433754,-0.01984787,1.781640053,2.883617401,3.917860508,4.344017506,1.552590847,-1.363917828,-0.03789711,0.610967596,-0.875712622,-0.571812756,0.1487233,0.882388198,0.334401236,1.052891867,-1.153140363,-1.680506773,-8.713256952,-0.574511201,3.728780323,-2.123641498,-4.821452668
Italy,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.29858017,-1.95661974,-0.534259558,0.318260193,-0.190070391,1.784559488,2.143320084,4.023400068,3.339980125,4.061550617,4.044020176,3.844599962,3.79957056,4.926010132,4.317630291,4.06619978,4.526769638,5.219130039,4.572249889,4.691130161,4.341039658,4.412340164,3.557760239,4.902729511,4.026360035,3.026180267,2.985779762,3.820349693,4.188779831,3.086809158,4.681589603,4.313719749,4.625070095,4.22124052,4.48363018,4.941269875,4.279150486,4.380600452,4.498939991,4.483909607,4.704190254,4.178249598,4.449680805,2.153970003,2.621979952,2.129310608,1.43648982,1.894550085,2.312009335,1.702449799,0.412200212,1.461449623,-10.01271033,-23.38861179,-26.18465066,-24.67418146,-20.02806163,-6.937799931,-2.041850328,-3.987299681,-7.029050112,0.557619572,4.595289946,4.012539864,1.909049988,1.257749319,1.603880167,2.199820518,2.59602046,1.37032032,0.826980114,0.950341225,1.352680683,-6.299210548,-4.358661652,-2.448999166,-2.561250448,-6.621030331,-21.17799067,-21.52399945,-22.63029957,-15.18929857,-34.04534078,-16.0463267,-8.06096065,-5.983990312,-3.691640913,-1.740420461,-1.380609274,-2.767530441,-2.999320269,-1.229500294,-0.881594718,-0.589110374,-0.199630141,0.016189218,0.160529733,0.155441403,0.814769864,0.470030904,-0.004576147,0.522443116,-2.021352649,-2.013190627,-0.869458616,-0.188331842,-1.320167303,-1.5709517,-1.899580956,-3.197839856,-5.128908753,-4.479430318,-4.01047945,-7.417117596,-4.642860889,-3.438237667,-4.304139614,-4.116961002,-2.539468765,-5.778770924,-3.44040823,-2.30024004,-3.098497391,-3.959107399,-3.176812172,-3.612919807,-2.75244236,-2.26543045,-1.359298706,-0.039402962,1.857299805,2.628700256,2.276599884,4.106701851,4.510100365,6.549477577,5.221072197,4.641907692,5.422232151,3.10379982,2.474437714,1.499508858,1.206980228,0.182161808,1.199451447,3.357260227,2.450019836,-0.821897507,-0.117592812,1.095355149,2.133138669,1.915483124,1.732105852,1.636166654,1.481767375,1.236232397,1.428664645,1.887567431,-5.958097332,-5.460437621,-4.027230236,-3.587799511,0.439425394
Jamaica,JAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.539146909,9.47261467,8.976614605,8.830120094,9.905084098,8.77806045,4.317045266,1.472606476,4.609066818,7.929691508,9.808124659,6.705225539,5.909928709,10.23972252,9.977945282,9.602773821,6.90366958,7.672618703,4.813477914,6.031732003,4.503496892,3.089950929,5.262656389,7.442416328,7.284782539,6.802888738,7.1461227,7.010686767,6.987523959,6.579136433,3.246726425,6.246122859,5.264287247,5.191154888,5.365535388
Japan,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.065221082,-0.362644985,0.00127095,0.286388963,0.233219996,0.224201024,0.196939975,0.203047976,0.238233,0.203268081,0.127010033,0.233655095,0.311122015,0.317186028,0.336596996,0.874988943,0.731321976,0.755151972,0.706493996,-0.14397306,0.386496074,0.989710927,0.424883969,0.686044991,0.289438076,0.623660043,0.314025976,0.541698024,0.285300091,-0.688743941,-0.389674902,0.768970937,2.076169759,1.91347295,1.814637035,1.881455749,1.487748086,1.52222994,1.454472929,1.526201919,1.668842047,1.56013,1.672664002,1.690140925,1.318271942,1.300389998,1.556921154,1.011902094,1.012016028,0.984980002,0.908305094,0.820632055,0.740949035,0.605774924,0.694884896,0.421879053,0.494649857,0.57776612,0.545662105,0.590703011,0.51859796,0.585963711,0.909755141,0.659714967,0.331235081,0.54358393,0.077886134,0.16985935,0.676911205,,,,6.601105869,7.850016057,12.80134812,7.27735272,5.23789984,2.528746873,2.037350357,1.079065651,-0.325678587,1.693698376,1.701036483,0.227050453,1.308902323,2.338994503,2.984123141,1.841660619,1.471615374,1.196004391,0.847979188,0.084689826,1.308261395,1.447761714,1.826592326,2.311242163,1.832664251,0.594854414,1.3758955,1.270770133,-1.789740086,-2.446320772,-2.210549116,-3.664710045,-2.498320818,-1.644322395,-0.643954208,-0.29132447,-0.097798831,1.406447278,2.702416867,2.65175794,3.591177612,4.23067907,4.78141774,5.431058217,5.031431439,3.899327457,0.902362706,-0.519811272,-1.000184811,-1.589246436,-0.266859082,-6.747152922,-3.462420411,-4.146668265,-3.209964227,-4.519973833,-4.872600214,-2.943515963,-2.20772875,-0.82276629,-0.637125272,-1.785633766,-7.332205382,-6.804533692,-6.676865367,-5.927353756,-5.407856802,-3.466078501,-1.636853097,-1.634841795,-1.2672649,-0.729227543,-1.372226282,-7.424977221,-4.578421869,-2.725336329,-0.82644051,-0.035754261
Jordan,JOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.84913698,1.587820624,-9.008520489,-6.496218778,2.38033572,2.479707447,-0.047031976,10.5287438,4.224046751,2.975149718,3.449340807,1.465329383,1.564932066,-0.991434107,2.072866038,1.094427955,1.476122576,-0.88031456,1.08800495,1.656469579,-2.500536951,-0.980813739,-2.56903096,-3.030896864,-6.406193587,-3.360697056,-3.557364106,-11.25306872,-13.09640805,-11.95065329,-3.759271935,-0.75590511,-0.714894744,-2.520873163,-3.557391108,-5.951118871,-4.182823138,-2.673371692,-2.19300678,-1.843318171
Kenya,KEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.11908492,-0.101042134,-0.417389468,-0.646865832,-0.485937423,0.37685359,1.040402258,0.628723398,0.009979324,-3.071522549,-3.177553377,-1.904809834,1.437527642,3.992300645,3.000417537,2.246125652,3.105026341,3.497853282,2.559198403,1.563017099,0.921202147,1.295624272,2.178861705,1.615609657,1.522992162,0.875235361,-0.192349511,-1.341008704,-1.713961703,-1.627718184,-3.220869992,-2.986840091,-3.228744034,-3.977638734,-4.34428542,-3.888176917,-3.190379864,-3.444899351,-3.782902564,-2.736443676,-1.368103768,-0.631469831,-0.111536494
Kiribati,KIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.547393771,3.956857642,0.841643939,6.316169085,0.805414744,-5.024245459,-20.13278498,6.336322264,14.75113786,-1.659684723,0.111540248,-10.76479844,3.2639183,-8.827402205,-19.09111574,-9.845177189,-12.16702755,-12.37197917,-15.7393469,-8.443130942,-7.707899303,-17.47940226,-5.425857554,11.79786336,35.0972751,42.65432202,20.21792315,34.23477473,5.396893518,11.05364704,3.805166133,-10.56847067,-18.12137779,0.288172708,-21.85579407
"Korea, Republic of",KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.093490746,-10.26916027,-10.48641724,,-9.830915987,-9.844822511,-6.312102661,-4.958421081,-9.313910291,-7.640531972,-4.167214572,-3.980979539,-3.342866845,-4.171095915,-2.785838015,-2.259709321,-2.703910381,-0.362106904,-1.131134599,-4.19112125,-1.661744673,-2.714389615,-3.625185318,-0.84042358,-1.772238344,-0.246441171,1.389393866,1.608701229,2.190439224,0.79204011,2.125529766,1.958009601,1.688020706,1.993420362,2.715598822,3.723029435,2.818868935,3.684130073,2.519528985,3.032767177,3.647079557,2.623149633,2.589635443,2.685476292,2.71774231,1.70110342,2.105083226,4.924563207,3.402224251,4.070611789,2.268534332,1.010038231,1.969089874,2.34686465,3.679075235,2.774408301,1.156982436,2.576866371,2.726302602,2.57690353,1.641566908,1.430895178,1.304303368,2.324898194,2.799196105,3.135963953,1.028719918,-1.403277634,0.675859076,-0.696450992,0.259145303,0.245809563
Kuwait,KWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-47.46544641,-141.1632252,-27.180461,-2.468285244,2.570822783,12.66331217,25.15144407,30.31679251,20.31182885,28.83740992,53.10076517,45.85790008,31.67832493,27.72306843,32.92908705,39.24662029,28.22505354,37.2812859,21.51869722,31.54220145,32.09403526,38.89483731,40.79563285,40.67316517,30.10321796,16.71872468,13.22179431,15.6700464,18.00706943,13.39722243,0.541088324,10.22706152,30.10842759,28.33208416,23.89911843
Kyrgyz Republic,KGZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.09601967,-7.880555637,-7.613790813,-9.875753111,-10.58063574,-8.520546101,-5.085948078,-4.289905796,-3.65639485,-3.539424991,-2.238793882,-1.214527985,1.922585851,2.673113318,1.178431945,-5.124859113,-3.741079091,-4.918575878,-2.857250337,-2.3094115,-1.697357721,-4.887567164,-2.863754083,0.433154352,0.760612406,-2.126994171,0.027536707,0.73538124,2.64141942,2.743660803
Latvia,LVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030110066,-2.847404016,-1.577021458,-1.094043948,-1.771675203,-0.867687942,-0.298547111,-0.488724085,0.019743242,0.968857489,-2.896062406,-5.975873516,-5.118112404,-1.866751179,1.764285615,0.917648919,-0.204882002,0.261743696,0.850550622,0.288647117,0.214054081,0.496325239,-2.948181525,-4.91939673,-3.399920572,-2.796470071,-0.898302536
Lebanon,LBN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.19602895,-14.45845659,-18.44184499,-1.133067429,-19.26026753,-3.098862198,-12.52018419,-9.990181075,-4.310083564,-2.719455756,-7.583893579,-4.550743303,0.40616163,2.625190074,2.463120337,1.949618111,2.623747567,1.712244706,1.486351194,2.769010161,2.722301196,3.466909257,-0.198466307,-0.729365687,2.492034601,1.446515119,0.434449935,0.756549425,-1.445079204,-0.464987581,-4.358342607,-1.60349903,-7.245256754,-1.067526498,0.40193245
Lesotho,LSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96029861,5.160202636,7.39184288,3.91154354,3.342358999,-0.043425702,0.789372266,8.538203377,12.99371284,12.79610889,7.314280818,9.694922394,7.647168129,7.361905331,2.793568827,1.373809087,-9.296620238,-13.70413971,1.591159834,-0.765136597,0.134717193,3.385041104,7.618502092,5.523954844,14.15776915,13.19369722,8.908647124,-3.32270176,-0.930127906,-9.119923189,5.347201102,-1.783874752,3.795306769,-0.500299234,-8.631569933,-0.971055082,-3.21850675,-4.257768977,2.771847623,-3.559338338,-4.572303767,9.292925406,10.97966976
Luxembourg,LUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.261193351,2.809304363,3.048698749,3.401529878,3.65703388,5.885295896,5.930485762,2.297779786,0.518164348,-1.206481869,-0.020144645,2.119964536,4.63471654,3.714608494,0.149292716,0.153999627,1.151310594,0.981382533,1.338642821,1.736588455,1.6785366,2.259820666,1.736154089,3.523642127,3.005847953,-2.872128647,1.149241164,0.336760014,-0.49235528,1.337080516
Madagascar,MDG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.65270642,-9.447336028,-6.308887724,-5.297965813,-5.091211918,-1.380342646,-1.304775516,-1.119761954,0.687348203,-2.066540884,0.689014641,-2.734132956,-2.235460407,-3.016573711,-2.678977621,-0.885845734,-0.180233895,0.532173352,-2.995600023,-0.587439974,-0.398185774,-1.962488714,-2.288347225,-1.41987505,-1.702321022,-0.203165083,-3.632397873,-1.333504596,-1.028243306,-1.578312873,-0.051468203,-1.315314596,-1.62723837,-2.824302387,-1.489795753,-2.15694191,-0.367801382,-1.407581986,-0.568883866,-0.723228012,-3.225458701,-2.183730849,-4.908715658,-3.489607066,-1.85319427
Malaysia,MYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.494617482,6.390655577,6.2560934,7.260734871,8.649862365,5.826639809,5.752664487,6.956892623,1.63255405,-0.568920374,-3.70867427,-1.84416792,-1.64269887,-2.284415156,-1.238256492,-0.763545232,-0.555977943,-0.666153019,-1.761027365,-3.901573488,-2.353980206,-1.551901867,-1.007918009,-1.336373852,-0.482418921,-0.351858603,-0.324873528,-0.205144902,-0.350872049,0.362449327,-2.246932857,-3.345238465,-2.056841928,-1.21616955,-1.105206863
Maldives,MDV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.20049672,-9.421432831,-11.93923143,-13.07028813,-3.549323401,-4.267042649,-0.707457327,-0.326853925,-1.251080923,-1.919585534,-2.764714629,-2.779506339,-2.679813683,-2.441496618,-1.374223077,-6.766485463,-3.537744329,-2.178102802,-8.961906725,-15.87435041,-11.5398756,-6.338521134,-4.408662233,-1.597326942,-0.697768713,-4.392135959,-8.183253258,-1.540913861,-3.437314889,-4.793489776,-20.88761941,-11.57747229,-7.525458529,-9.050287295,-9.606172652
Marshall Islands,MHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.06652627,18.37718266,12.83373468,9.589908958,9.059629067,5.549097685,11.20928123,-0.969805767,-21.60757385,0.876424048,0.86382268,4.583897997,2.105037144,4.067290067,2.958912205,0.030010001,0.398504377,3.598311374,3.211540101,4.253939727,4.675963051,2.843374273,-1.545446506,2.813360254,0.401697665,0.894984737,1.3193843,3.811694846
Mexico,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.061460376,0.877679944,0.842190146,0.916701019,1.460005999,0.621257067,1.043151289,0.62383002,0.343735695,1.782710195,0.92510289,0.28059113,0.352936149,-0.041204274,0.950540066,0.666750312,0.725741804,0.898790121,1.495980024,0.4201895,0.277159929,1.715000033,0.254649997,-0.205429912,1.991239786,1.109979987,1.160459876,1.885489941,0.178691745,-0.607423693,0.864375144,0.553342432,0.333055586,0.470630184,-0.493707955,-1.038050503,-0.366261125,-0.409885168,-0.517710477,-0.958890438,-1.812410772,-0.848599911,1.512149334,0.419299603,-0.187829971,0.815909863,1.038969278,0.053339958,-0.461610079,-1.011870146,-0.140949965,-0.298840284,1.01699996,3.247110367,3.568780899,1.767450571,0.065730572,0.672200203,6.955300331,6.84469986,4.783100128,5.949800491,8.421700478,8.448899269,8.550800323,7.273370743,5.213860035,4.623260021,2.758159876,2.002200127,4.309309959,0.172783373,-0.040160917,-1.950550916,-1.51222727,0.326755413,1.127809229,0.806670421,0.611570597,1.365667292,1.268836707,1.362643614,1.021589803,2.737095767,-0.519641254,-0.826162176,-0.396460308,-0.613740112,-0.644724321,-1.451708078,-0.941642399,0.536935831,2.897319579,1.868419725,2.585641512,0.55787311,0.839485061,1.030588934,1.903592392,0.749572061
"Micronesia, Fed. States of",FSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.599064292,4.915404432,4.95407493,-1.631616389,-3.872126202,-2.68950434,-5.205147826,7.435327958,2.82290338,-15.34594849,-5.451783581,-5.269049368,-3.365464205,-1.319663636,2.172139894,0.746617321,-0.241994865,1.224897098,3.31238153,11.60352449,10.84823154,7.680613827,14.73108482,24.93806952,19.83347805,6.705529042,4.684563639,17.57461949,9.596923718,9.321048023
Moldova,MDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.511301037,-4.309477757,-3.242691608,3.095719161,4.396547708,2.698790027,3.839690364,0.976983451,2.569977578,2.502514924,2.6903286,0.597043189,1.335964311,0.29385801,-4.987813712,-1.531951687,-1.367979762,-1.272417293,-1.124376911,-1.130457612,-1.180658021,-0.424752041,0.462764915,-0.046016498,-0.669894887,-4.462442099,-1.815154034,-2.242866204,-3.338944218,-2.51126544
Mongolia,MNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.83928346,-7.771208349,-12.45094973,-9.290421044,-4.691646271,-6.354500663,-5.824147472,-11.16344052,-8.307108922,-4.335007646,-3.140940963,-3.472852843,-2.418351774,-0.634747876,3.114713733,8.033825359,3.013395623,-4.217107051,-4.749350709,0.859265214,-3.73051019,-5.489261967,0.483367339,-1.474303238,-1.849858229,-11.17442355,0.41067297,6.067266154,3.278074161,-6.732761085,-1.121453254,2.153452206,4.298664763,2.732692657
