Model,Scenario,version,Region,Country code,Unit,Variable,Type,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
OECD ENV-Growth 2025,SSP1,1,Bhutan,BTN,USD_2017/yr,GDP|PPP [per capita],ANNUAL,12103.21858,14306.1887,16715.4668,19518.66665,22791.17857,26360.33384,30328.61494,34806.55427,39879.82286,45277.20843,50895.7101,56629.58589,62321.71128,68074.81341,73900.88575,79836.36749
OECD ENV-Growth 2025,SSP1,1,Bolivia,BOL,USD_2010/yr,GDP|PPP [per capita],ANNUAL,6594.784831,7008.272246,7841.184449,9306.004422,11400.00225,14044.34869,17218.36472,20951.45666,25238.34572,30007.50121,35217.79488,40874.5934,46990.42387,53576.1123,60618.49052,68117.45359
OECD ENV-Growth 2025,SSP1,1,Bolivia,BOL,USD_2015/yr,GDP|PPP [per capita],ANNUAL,7538.845026,8011.524215,8963.669915,10638.18259,13031.94153,16054.83287,19683.21735,23950.71088,28851.279,34303.15121,40259.31165,46725.89525,53717.22237,61245.66882,69296.18138,77868.64005
OECD ENV-Growth 2025,SSP1,1,Bolivia,BOL,USD_2017/yr,GDP|PPP [per capita],ANNUAL,8438.451459,8967.535209,10033.29996,11907.63135,14587.03629,17970.64767,22032.00538,26808.73669,32294.08703,38396.5283,45063.43424,52301.67188,60127.27042,68554.08245,77565.25845,87160.66413
OECD ENV-Growth 2025,SSP1,1,Bosnia and Herzegovina,BIH,USD_2010/yr,GDP|PPP [per capita],ANNUAL,16102.76824,19413.51519,22941.41949,26115.0575,28818.03088,31059.37688,33048.53891,35020.7541,37051.72765,38959.88933,40834.76613,42639.90323,44422.86959,46242.10066,48139.82012,50132.02204
OECD ENV-Growth 2025,SSP1,1,Bosnia and Herzegovina,BIH,USD_2015/yr,GDP|PPP [per capita],ANNUAL,17499.83322,21097.81827,24931.80108,28380.78172,31318.26319,33754.06681,35915.80716,38059.13036,40266.30977,42340.02223,44377.56204,46339.31158,48276.96685,50254.03315,52316.39743,54481.4414
OECD ENV-Growth 2025,SSP1,1,Bosnia and Herzegovina,BIH,USD_2017/yr,GDP|PPP [per capita],ANNUAL,18529.20465,22338.82961,26398.33414,30050.18998,33160.45935,35739.54129,38028.43906,40297.83637,42634.84601,44830.53793,46987.92947,49065.07262,51116.70424,53210.06511,55393.74134,57686.13706
OECD ENV-Growth 2025,SSP1,1,Botswana,BWA,USD_2010/yr,GDP|PPP [per capita],ANNUAL,16499.10325,18780.67556,21407.16415,24177.80176,27174.77755,30424.77387,34055.13483,38142.14088,42613.31879,47386.66663,52466.28697,57935.50811,63817.81695,70194.2789,77054.65898,84444.38113
OECD ENV-Growth 2025,SSP1,1,Botswana,BWA,USD_2015/yr,GDP|PPP [per capita],ANNUAL,16523.54592,18808.49827,21438.87788,24213.62007,27215.03574,30469.84678,34105.58595,38198.64672,42676.44847,47456.86781,52544.01338,58021.33691,63912.36012,70298.26851,77168.81193,84569.48161
OECD ENV-Growth 2025,SSP1,1,Botswana,BWA,USD_2017/yr,GDP|PPP [per capita],ANNUAL,16845.39401,19174.85301,21856.46755,24685.25658,27745.13427,31063.34301,34769.89965,38942.68567,43507.70672,48381.23978,53567.47353,59151.48519,65157.25463,71667.5487,78671.91759,86216.73862
