Net lending/borrowing (also referred as overall balance) (% of GDP),Country code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Chad,TCD,,,,,,-3.123791446,-2.860703148,-2.579028913,-1.730417908,-4.069054785,-4.681241268,-3.534653381,-4.079120634,-4.315226579,-1.84001317,-0.052775768,1.703206276,2.018346795,2.816626614,-8.44414443,-3.157813847,1.745981254,0.328580501,-1.502409238,-3.220531525,-3.293249531,-1.511003657,-0.175953317,1.386939853,-0.110716006,1.235357602,-1.293099086,3.786787144,-1.257349399,-2.111848036,-1.456222253,-2.3887249,-2.155260862,-1.151427603,-0.861112268,-0.662607145
Chile,CHL,2.24057585,1.535322927,2.093700174,1.409528086,1.434757198,3.094519894,2.070818167,2.039141752,0.390147555,-2.017836718,-0.692843284,-0.494623825,-1.170689969,-0.415501044,2.050663764,4.568037245,7.509081047,7.954877552,3.930457667,-4.258969062,-0.362720107,1.426790725,0.682343278,-0.470273938,-1.496369799,-2.088512587,-2.660616391,-2.627531098,-1.482222522,-2.730522534,-7.095296374,-7.525036176,1.360194515,-2.2739335,-2.815110596,-2.055123578,-1.465300041,-1.165515777,-0.848156211,-0.86532581,-0.892599966
"China, People's Republic of",CHN,-0.717465241,-1.036732213,-1.216603502,-0.888963968,-1.676444044,-0.943927904,-0.733140712,-0.725882739,-1.075739036,-2.295672035,-2.811463742,-2.561827647,-2.843221393,-2.360139609,-1.489298313,-1.380091863,-1.126060307,0.058016338,-0.02436872,-1.721318081,-0.355777872,-0.09639114,-0.29673385,-0.822663048,-0.671716502,-2.499951608,-3.326400681,-3.338694381,-4.201789603,-6.004814895,-9.563182083,-5.901650464,-7.318963871,-6.707992104,-7.343185468,-8.573107862,-8.511191944,-8.38439864,-8.220402358,-8.040663633,-7.985567609
Colombia,COL,-0.405866123,0.349416905,-0.066866241,-0.239768753,-0.137915908,-0.998152454,-2.493868941,-3.225456464,-3.862567258,-5.365070977,-2.935578379,-2.707566698,-3.45079738,-2.701269374,-1.310571281,-0.020771191,-0.992650981,-0.819777005,0.041817672,-2.674047345,-3.302773297,-1.992978459,0.15478365,-1.020743069,-1.744077029,-3.520222725,-2.273954363,-2.495521245,-4.667652038,-3.481780712,-7.124946022,-7.25793537,-6.337802812,-2.923399839,-6.246175963,-6.906774035,-5.722684328,-4.05579718,-2.719200037,-2.333127262,-2.170680058
Comoros,COM,-1.029026249,-2.25590346,-1.990342916,1.273550279,-3.700131207,-4.129123566,-3.425740498,-1.300216295,-2.003475462,-0.456201453,-1.138061697,-2.128167632,-2.145590435,-2.045397099,-0.979899748,-1.413784559,-1.506793926,-1.179359699,-1.46445637,0.359637894,4.204039401,0.861227187,1.961578352,10.48854181,-0.328023758,2.59819223,-5.520385051,-0.09776029,-1.346950471,-4.295125147,-0.516296471,-2.813701801,-3.93174615,-1.339515692,-2.919122901,-1.718386039,-1.657981435,-1.842951832,-2.026294944,-1.22019127,-1.002955957
"Congo, Dem. Rep. of the",COD,,,,,,,-0.561980951,-1.055730252,-1.548478036,-1.348249248,-1.85254483,-1.126910205,0.893774718,-3.922823837,-0.166989605,1.300280522,1.96570829,1.118657687,-0.412201729,0.91763867,-0.948511581,-0.943103144,1.713520985,3.279594745,3.731656301,-1.353943416,-0.925586858,-0.052454128,-1.338939571,-3.165141312,-3.171956376,-1.678778644,-1.00524057,-1.653752126,-1.477999567,-2.20968382,-1.574562618,-1.508569458,-1.485012453,-1.633647353,-1.390477802
"Congo, Republic of ",COG,-4.103315379,-11.19545205,-12.68441324,-11.30642929,-10.62698922,-6.379538956,9.195060399,3.667710097,-5.159991398,-4.745997859,1.046864035,-0.705858267,-7.341981696,0.365582583,3.325541757,13.40279368,15.95727855,8.986431279,23.89676581,4.755979122,15.51710743,16.06509503,7.235995846,-2.849273704,-10.73220658,-17.80514785,-14.54225268,-5.570996107,5.221873982,4.303832358,-1.104885442,1.629394878,8.94412234,5.805340953,3.615402581,3.231438322,2.235049465,3.641682379,4.860285706,5.164049279,5.173482958
Costa Rica,CRI,-4.403627592,-2.410503222,-1.513649672,-1.522541926,-5.461608235,-3.683910225,-4.322043805,-3.390160076,-2.96482605,-2.881497598,-3.683747844,-3.470523624,-4.992425787,-3.432176192,-3.415232679,-2.09117063,-1.042791132,0.558234422,0.18214316,-3.251268959,-4.956304857,-3.909690546,-4.215275968,-5.246260115,-5.453586347,-5.52219992,-5.094052068,-5.879000566,-5.660287801,-6.684225998,-8.379604191,-5.08563292,-2.805233484,-3.251519968,-3.78281264,-3.198259573,-3.026166088,-2.719182066,-2.515549471,-2.291611342,-2.12066313
Croatia,HRV,,,-5.690240636,-2.670322614,-0.816518807,-4.230352091,-4.406182469,-4.934155535,-6.360497426,-11.11044415,-9.197196028,-4.791690934,-4.898226023,-5.028079972,-6.093355136,-3.242488737,-2.008608685,-2.279797536,-2.338323418,-7.150817984,-6.464083431,-7.531866867,-5.461466333,-5.523898283,-5.194999109,-3.528669625,-1.041434548,0.799219881,0.234789436,2.314179037,-7.23383712,-2.575110974,0.122158629,-0.791432341,-1.953452576,-2.918145378,-2.828174447,-2.826983918,-2.774660177,-2.576722975,-2.479996759
Cyprus,CYP,,,,,,-0.712397275,-2.956325584,-4.821219576,-3.851120898,-4.053804102,-2.239714585,-2.107402184,-4.13063795,-5.907218983,-3.711642274,-2.224351147,-1.04125,3.228164349,0.865878293,-5.433350825,-4.684216206,-5.650058918,-5.550540127,-5.159559431,-8.796073855,-0.76571556,0.45125357,2.128748942,-3.363475454,1.031148108,-5.574774292,-1.643321378,2.651026473,1.69814933,4.281198891,3.411111038,3.167501292,2.999925478,2.595148094,2.001106369,1.381344324
